Year,All Races,White Americans,Black Americans,Native Americans,Asian Americans
1980,0.0025565,0.0023,0.005,0.0018,0.0006
1981,0.002440016,0.0021,0.0052,0.0016,0.0007
1982,0.002918013,0.0025,0.0064,0.0018,0.0008
1983,0.00282901,0.0023,0.0068,0.0016,0.0008
1984,0.003003924,0.0025,0.0074,0.0018,0.0007
1985,0.003410336,0.0028,0.0086,0.0022,0.0009
1986,0.00343185,0.0027,0.0094,0.002,0.0006
1987,0.003868935,0.0029,0.0111,0.002,0.0007
1988,0.004724764,0.0034,0.0151,0.0024,0.0008
1989,0.005516993,0.0038,0.0185,0.0023,0.0005
1990,0.004364585,0.0031,0.0144,0.0018,0.0006
1991,0.003992396,0.0028,0.0134,0.0017,0.0006
1992,0.004157274,0.0029,0.0135,0.0019,0.0007
1993,0.00433328,0.0031,0.0135,0.0021,0.0007
1994,0.005135946,0.0038,0.0151,0.0025,0.0008
1995,0.005543446,0.0041,0.0163,0.0029,0.0009
1996,0.005591061,0.0042,0.0161,0.0031,0.0009
1997,0.005808244,0.0044,0.0164,0.0033,0.001
1998,0.005651901,0.0043,0.0162,0.003,0.0009
1999,0.005490966,0.0042,0.0151,0.0031,0.0009
2000,0.005598006,0.0044,0.0151,0.0031,0.0009
2001,0.005567107,0.0044,0.0149,0.0029,0.0009
2002,0.005347824,0.0043,0.0138,0.0031,0.0009
2003,0.005782043,0.0047,0.0146,0.0034,0.001
2004,0.00596229,0.0048,0.0151,0.0034,0.0009
2005,0.006245723,0.005,0.0159,0.0038,0.001
2006,0.006332469,0.005,0.0166,0.0036,0.0009
2007,0.006108895,0.0048,0.0159,0.0035,0.0009
2008,0.005597184,0.0045,0.0144,0.0032,0.0008
2009,0.005424907,0.0044,0.0135,0.0031,0.0008
2010,0.005297758,0.0045,0.0123,0.0026,0.0008
2011,0.004912238,0.0042,0.0113,0.0025,0.0008
2012,0.004942287,0.0042,0.0112,0.0025,0.001
2013,0.004742669,0.0041,0.0104,0.0027,0.0009
2014,0.004896335,0.0043,0.0103,0.0029,0.001
