Year,Event,Description
1980,"Drug Abuse Prevention, Treatment, and Rehabilitation","Under the Carter Administration, this amendment to the Drug Abuse Office and Treatment Act provided federal funding to various programs for the prevention of drug abuse and for the treatment and rehabilitation of drug abusers. In adopting these acts, Congress aimed to coordinate a national strategy and establish a framework of federal, state, and local partnerships to combat drug abuse. <br/><br/> Note: Information gathered from respective Wikipedia page."
1984,Sentencing Reform Act (SRA),"Under the Reagan Administration, this act was intended to increase consistency in United States federal sentencing by establishing the United States Sentencing Commission and abolishing federal parole. <br/><br/> Note: Information gathered from respective Wikipedia page."
1986,Anti-Drug Abuse Act of 1986,"Under the Reagan Administration, this bill changed the system of federal supervised release from a rehabilitative system into a punitive system and enacted new mandatory minimum sentences for drugs, including marijuana. <br/><br/> Note: Information gathered from respective Wikipedia page."
1988,Anti-Drug Abuse Act of 1988,"Under the Reagan Administration, this amendment to the Anti-Drug Abuse Act of 1986 accomplished two things: 1) It established the Office of National Drug Control Policy, and 2) It paid special attention to crack cocaine by enforcing mandatory minimum sentencing for any drug with cocaine paste. <br/><br/> Note: Information gathered from respective Wikipedia page."
1992,ADAMHA Reorganization,"Under the Bush Administration, this act amended certain alcohol, drug abuse, and mental health research and services programs to reflect continued commitment to help the victims of mental illness and substance abuse. <br/><br/> Note: Information gathered from respective Wikipedia page."
1993,"""Drug Czar"" Raised to Cabinet-Level Status","Under the Clinton Administration, the Director of the Office of National Drug Control Policy (established by the Anti-Abuse Act of 1988) is raised to cabinet-level status. <br/><br/> Note: Information gathered from respective Wikipedia page."
1998,First Full Study of Drug Policy Begins,"This study was carried out by the National Research Council (NRC), and aimed to understand the effects of the current US drug policy. <br/><br/> Note: Information gathered from respective Wikipedia page."
2001,First Full Study of Drug Policy Ends,"The National Research Council Committee on Data and Research for Policy on Illegal Drugs is published. The study reveals that the government has not sufficiently studied its own drug policy, which it calls ""unconscionable"". <br/><br/> Note: Information gathered from respective Wikipedia page."
2009,Obama Sworn In,"The Obama Administration no longer uses the term ""War on Drugs"" to demonstrate their efforts to favor treatment over incarceration to reduce drug use. <br/><br/> Note: Information gathered from respective Wikipedia page."
2010,The Fiscal Year 2011 National Drug Control Budget,"Proposed by the Obama Administration, this budget aimed to devote significant new resources ($340 million) to the prevention and treatment of drug abuse. <br/><br/> Note: Information gathered from respective Wikipedia page."
2012,Colorado and Washington (State) Legalize Marijuana,"The first two states in America pass laws to legalize the consumption, possession, and sale of marijuana. <br/><br/> Note: Information gathered from respective Wikipedia page."
2014,Alaska and Oregon Legalize Marijuana,"These two states are the next to pass laws to legalize the consumption, possession, and sale of marijuana. <br/><br/> Note: Information gathered from respective Wikipedia page."
