Year,All Offenses,Drug Abuse Violations -Total,Drug-Sale-Manufacturing-Total,Drug-Possession-SubTotal,Population
1980,"1,727,507","91,534","14,014","77,520","32,549,516"
1981,"1,703,118","77,096","10,120","66,976","32,316,729"
1982,"1,706,723","76,519","10,941","65,578","32,118,199"
1983,"1,529,797","65,317","10,377","54,939","32,003,713"
1984,"1,514,838","70,645","12,186","58,459","31,970,116"
1985,"1,584,162","79,386","15,652","63,734","32,053,836"
1986,"1,628,549","70,126","16,080","54,046","32,185,260"
1987,"1,623,981","76,218","20,488","55,730","32,291,446"
1988,"1,728,815","91,578","30,941","60,637","32,395,420"
1989,"1,724,427","99,422","39,178","60,244","32,504,923"
1990,"1,707,692","72,094","27,479","44,615","32,904,079"
1991,"1,792,449","71,696","32,003","39,692","33,469,108"
1992,"1,790,213","80,179","28,870","51,309","34,083,762"
1993,"1,850,799","100,451","31,534","68,917","34,645,052"
1994,"2,052,713","140,363","36,927","103,437","35,184,738"
1995,"2,091,126","171,293","40,506","130,787","35,614,072"
1996,"2,138,758","184,258","42,382","141,876","36,006,261"
1997,"2,082,906","186,520","37,999","148,521","36,357,378"
1998,"1,881,197","173,371","35,226","138,145","36,621,007"
1999,"1,725,430","163,865","31,847","132,017","36,883,511"
2000,"1,668,485","168,690","31,401","137,289","37,105,547"
2001,"1,598,361","169,909","29,815","140,094","37,276,923"
2002,"1,600,567","156,927","28,296","128,631","37,429,263"
2003,"1,570,234","165,010","30,172","134,838","37,529,961"
2004,"1,532,681","159,958","27,531","132,428","37,647,340"
2005,"1,518,138","160,105","27,379","132,726","37,778,592"
2006,"1,575,488","165,491","27,584","137,907","37,910,450"
2007,"1,533,420","164,280","26,268","138,012","38,079,392"
2008,"1,474,705","151,478","23,065","128,414","38,131,205"
2009,"1,328,066","143,635","21,782","121,853","38,137,779"
2010,"1,162,607","142,437","20,635","121,802","37,910,431"
2011,"1,041,326","123,816","17,856","105,960","37,788,529"
2012,"936,337","116,125","15,959","100,166","37,669,396"
2013,"770,324","95,738","13,277","82,461","37,604,602"
2014,"729,878","91,121","12,099","79,022","37,583,547"
