State,State Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Gender,Gender Code,Race,Race Code,Year,Year Code,Deaths,Population,Crude Rate
Alabama,1,15-24 years,15-24,Female,F,White,2106-3,2005,2005,10,211217,Unreliable
Alabama,1,15-24 years,15-24,Female,F,White,2106-3,2006,2006,12,211606,Unreliable
Alabama,1,15-24 years,15-24,Female,F,White,2106-3,2007,2007,10,213458,Unreliable
Alabama,1,15-24 years,15-24,Female,F,White,2106-3,2008,2008,10,215269,Unreliable
Alabama,1,15-24 years,15-24,Female,F,White,2106-3,2009,2009,21,216957,9.7
Alabama,1,15-24 years,15-24,Female,F,White,2106-3,2010,2010,14,217434,Unreliable
Alabama,1,15-24 years,15-24,Female,F,White,2106-3,2011,2011,13,217104,Unreliable
Alabama,1,15-24 years,15-24,Female,F,White,2106-3,2012,2012,13,216088,Unreliable
Alabama,1,15-24 years,15-24,Female,F,White,2106-3,2013,2013,11,214932,Unreliable
Alabama,1,15-24 years,15-24,Female,F,White,2106-3,2014,2014,11,213391,Unreliable
Alabama,1,15-24 years,15-24,Female,F,White,2106-3,2015,2015,22,210172,10.5
Alabama,1,15-24 years,15-24,Male,M,White,2106-3,2000,2000,17,213531,Unreliable
Alabama,1,15-24 years,15-24,Male,M,White,2106-3,2001,2001,21,216441,9.7
Alabama,1,15-24 years,15-24,Male,M,White,2106-3,2002,2002,26,217499,12
Alabama,1,15-24 years,15-24,Male,M,White,2106-3,2003,2003,24,219153,11
Alabama,1,15-24 years,15-24,Male,M,White,2106-3,2004,2004,40,219849,18.2
Alabama,1,15-24 years,15-24,Male,M,White,2106-3,2005,2005,34,221256,15.4
Alabama,1,15-24 years,15-24,Male,M,White,2106-3,2006,2006,46,222818,20.6
Alabama,1,15-24 years,15-24,Male,M,White,2106-3,2007,2007,55,224273,24.5
Alabama,1,15-24 years,15-24,Male,M,White,2106-3,2008,2008,37,225868,16.4
Alabama,1,15-24 years,15-24,Male,M,White,2106-3,2009,2009,37,227585,16.3
Alabama,1,15-24 years,15-24,Male,M,White,2106-3,2010,2010,24,227918,10.5
Alabama,1,15-24 years,15-24,Male,M,White,2106-3,2011,2011,34,227453,14.9
Alabama,1,15-24 years,15-24,Male,M,White,2106-3,2012,2012,42,225836,18.6
Alabama,1,15-24 years,15-24,Male,M,White,2106-3,2013,2013,32,225800,14.2
Alabama,1,15-24 years,15-24,Male,M,White,2106-3,2014,2014,44,222839,19.7
Alabama,1,15-24 years,15-24,Male,M,White,2106-3,2015,2015,35,219221,16
Alabama,1,25-34 years,25-34,Male,M,Black or African American,2054-5,2006,2006,13,75721,Unreliable
Alabama,1,25-34 years,25-34,Male,M,Black or African American,2054-5,2009,2009,10,79965,Unreliable
Alabama,1,25-34 years,25-34,Male,M,Black or African American,2054-5,2014,2014,11,86552,Unreliable
Alabama,1,25-34 years,25-34,Male,M,Black or African American,2054-5,2015,2015,12,88280,Unreliable
Alabama,1,25-34 years,25-34,Female,F,White,2106-3,1999,1999,12,215681,Unreliable
